fishnetID,osmid,lon,lat
0,2076579875,-73.8941345,45.4368727
0,221997605,-73.8937463,45.4255431
0,109972106,-73.8836205,45.4400227
0,35834685,-73.8760887,45.42834
1,101395196,-73.8199746,45.4412812
1,222401399,-73.8473432,45.4354653
1,96070653,-73.8125054,45.4437483
1,3640108610,-73.8153834,45.4428566
2,116415774,-73.6919424,45.4371616
2,5116306765,-73.6692718,45.4315729
2,274301543,-73.6991866,45.4396808
3,4059882019,-73.6497035,45.4251971
3,277670318,-73.6443837,45.4271686
3,290735866,-73.645751,45.4240602
3,4221549613,-73.6516448,45.422398
4,1700228879,-73.6221429,45.4152504
4,1700549630,-73.6217378,45.4190863
4,5413968040,-73.6241384,45.4254602
4,612762780,-73.6222128,45.4233122
5,248512280,-73.6513298,45.4409463
5,612002375,-73.6481422,45.4436483
5,1209936279,-73.6588231,45.4429872
5,4526362273,-73.6460394,45.4332997
6,286270655,-73.6425517,45.4375894
6,612002236,-73.6351444,45.4303804
6,290776436,-73.6393099,45.4341872
6,1543768655,-73.6395237,45.4289198
7,1700228919,-73.6202701,45.4215141
7,1669418036,-73.609012,45.4294556
7,609404785,-73.6194306,45.4416167
7,32662079,-73.5963069,45.4262224
8,31147313,-73.4905809,45.4317283
8,275742020,-73.4922213,45.4389825
8,31149498,-73.502453,45.413167
8,275996678,-73.490826,45.4350826
9,110796363,-73.875521,45.4689104
9,109929307,-73.8711907,45.446629
9,109828145,-73.8578567,45.4516155
9,2076644027,-73.8746697,45.4449185
10,4322954829,-73.8435555,45.4561222
10,116282130,-73.822404,45.4660232
10,96060293,-73.8273977,45.4658999
10,4506424200,-73.8295575,45.4678013
11,98403164,-73.7722185,45.4490725
11,106449703,-73.7820513,45.4538737
11,98446729,-73.8057661,45.4739104
11,35835068,-73.7898792,45.449286
12,8810081964,-73.7274179,45.448492
12,8750179621,-73.714744,45.4482534
12,95866485,-73.7441247,45.4473838
12,35835055,-73.7467601,45.4479718
13,4198101851,-73.6826062,45.447311
13,245488216,-73.7127769,45.47008
13,116346933,-73.7076031,45.4732616
13,245474340,-73.7015366,45.4694114
14,6836090480,-73.6374865,45.4478559
14,2086919144,-73.664986,45.4447289
14,4968658664,-73.6278763,45.45821
14,269187558,-73.6583245,45.4745401
15,615001764,-73.609856,45.4477474
15,611541585,-73.6191992,45.4496184
15,614983229,-73.6139105,45.4443308
16,615001851,-73.5926358,45.4453647
16,615001798,-73.6013337,45.4467056
16,615028247,-73.5926297,45.4451739
17,5071727027,-73.6138825,45.461675
17,6160129071,-73.6071142,45.4633397
17,220784854,-73.6143802,45.4654484
17,6162103795,-73.6167266,45.4574953
18,7725733430,-73.5952379,45.4654596
18,6323360993,-73.5920742,45.4647415
18,1242690444,-73.5952502,45.4646783
19,3716140868,-73.5871511,45.4649722
19,1734380596,-73.5793539,45.462471
19,6160120116,-73.5822848,45.4652028
19,4675051537,-73.5816732,45.463429
20,32124365,-73.6088458,45.4742976
20,1767750220,-73.6119875,45.472529
20,98430305,-73.6161614,45.4757277
20,220743779,-73.6074966,45.4704811
21,4033288124,-73.595843,45.4744223
21,6718629089,-73.6013478,45.4709394
21,4900415641,-73.5967609,45.466347
21,3446935215,-73.6044754,45.4690774
22,6947008048,-73.578181,45.47058
22,5296584812,-73.5840478,45.4689373
22,31703529,-73.5741092,45.4761963
22,3560183207,-73.5853633,45.4766858
23,5291897414,-73.5504831,45.4708581
23,32662122,-73.567579,45.4521013
23,6871153039,-73.5731994,45.4749301
23,5299879644,-73.5544094,45.473849
24,3688210919,-73.4919543,45.4669733
24,31141827,-73.4986988,45.4747929
24,262070652,-73.4941482,45.465083
24,261995690,-73.4878749,45.4675866
25,110796375,-73.8519522,45.4918595
25,5412431777,-73.8216936,45.5060114
25,4341072885,-73.8143652,45.5011591
25,604129352,-73.83899,45.5003672
26,605795761,-73.7622065,45.5089681
26,7402172833,-73.7694367,45.489787
26,605206810,-73.7657501,45.4878049
26,98451494,-73.7910837,45.478272
27,583078007,-73.7449794,45.4956038
27,4500062054,-73.7561317,45.4938873
27,4686563252,-73.7539896,45.495541
27,8604332286,-73.75007,45.4905826
28,17052789,-73.7013317,45.4913831
28,2092720937,-73.6707696,45.4799245
28,245485071,-73.685192,45.489405
28,4065624311,-73.703189,45.4768143
30,31699856,-73.6372779,45.4875258
30,612118968,-73.6228002,45.4805712
30,8647480814,-73.6323453,45.4853009
30,209396025,-73.6421285,45.4896782
31,98427827,-73.6606628,45.4990145
31,217741367,-73.6619133,45.5083353
31,224554453,-73.651907,45.4941409
31,98425546,-73.667148,45.5038298
32,29784714,-73.6321966,45.500874
32,5416283760,-73.6273014,45.4988327
32,4515093894,-73.6420488,45.5053258
32,209370661,-73.6357618,45.5024582
33,4046033647,-73.591886,45.4794501
33,618066327,-73.5922643,45.4947138
33,229207047,-73.5873898,45.4964621
33,5098156688,-73.5851507,45.4822519
