,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,capacity,geometry
0,26411640,secondary_link,1,130.623,50,????? Ocean Park Road,1,26560287,3698862626,700,"LINESTRING (114.1699636 22.2503365, 114.1701234 22.2504881, 114.17016 22.250518, 114.170191 22.250549, 114.17022 22.250581, 114.17026 22.25063, 114.170293 22.250677, 114.170318 22.25072, 114.17041 22.25092, 114.17043 22.25096, 114.17046 22.25101, 114.1705 22.25106, 114.17055 22.251101, 114.1706 22.251137, 114.17065 22.251162, 114.17069 22.251172, 114.17077 22.251185)"
1,26411640,trunk,3,115.535,70,???? Wong Chuk Hang Road,1,46766846,26411641,1200,"LINESTRING (114.1699636 22.2503365, 114.1701308 22.2503987, 114.1702708 22.250448, 114.170422 22.2504859, 114.1705868 22.2505136, 114.1707462 22.2505376, 114.1710523 22.2505594)"
2,564633761,trunk,3,52.245999999999995,70,???? Wong Chuk Hang Road,1,714996652,26411640,1200,"LINESTRING (114.1694938 22.2501585, 114.1695738 22.2501902, 114.1696883 22.2502321, 114.1699636 22.2503365)"
3,26411641,trunk,4,81.002,70,???? Wong Chuk Hang Road,1,86289334,597665412,1200,"LINESTRING (114.1710523 22.2505594, 114.1712067 22.250564, 114.1713715 22.2505628, 114.171486 22.2505552, 114.1716427 22.2505413, 114.1718348 22.2505073)"
4,3698862146,trunk_link,1,140.791,50,????? Ocean Park Road,1,26560290,26411641,1200,"LINESTRING (114.17099 22.25103, 114.17095 22.251061, 114.17091 22.251079, 114.17085 22.2511, 114.1708 22.251108, 114.17075 22.251108, 114.170705 22.2511, 114.17066 22.25108, 114.17062 22.251058, 114.17058 22.251025, 114.170545 22.25098, 114.17052 22.250928, 114.17051 22.25088, 114.17051 22.25082, 114.17052 22.25078, 114.17054 22.250735, 114.17058 22.25069, 114.170622 22.25065, 114.17067 22.250617, 114.1707289 22.2505879, 114.1710523 22.2505594)"
5,26412251,secondary,3,584.082,50,??? Peak Road,0,"[245435906, 156335566, 156335567, 156335568, 4338992, 492657362, 492658229, 492658230, 492658231]",26412219,700,"LINESTRING (114.1514696 22.2671122, 114.1513486 22.2671705, 114.1513127 22.2671952, 114.1512846 22.2672317, 114.1512466 22.2673098, 114.1512238 22.2674232, 114.1512221 22.267485, 114.151242 22.2675627, 114.1514813 22.2683025, 114.1514905 22.2684518, 114.1514328 22.2687141, 114.1513587 22.2688788, 114.1512584 22.2690101, 114.1510482 22.2691219, 114.1507206 22.2692695, 114.1501427 22.2695415, 114.1500862 22.26957, 114.1498613 22.2696796, 114.149688 22.2697766, 114.149571 22.2699377, 114.1495121 22.2701166, 114.1494783 22.2703058, 114.1494595 22.2704623, 114.149462 22.2706245, 114.1495214 22.2709598, 114.1495431 22.2710854, 114.1495679 22.2712495)"
6,26412251,secondary_link,1,5.312,50,,1,156335619,1685958857,700,"LINESTRING (114.1514696 22.2671122, 114.1514819 22.2671586)"
7,4848058343,secondary,3,2343.5799999999995,50,??? Peak Road,0,"[156335569, 492830378, 245435901]",26412251,700,"LINESTRING (114.1654848 22.2692434, 114.1654843 22.2692189, 114.1654837 22.2691912, 114.1654719 22.2691387, 114.1654513 22.2690999, 114.1654105 22.269045, 114.1653979 22.269035, 114.1653389 22.2689883, 114.1652013 22.2689265, 114.165169 22.2689191, 114.1650241 22.2688861, 114.1640151 22.2686408, 114.1639988 22.2686368, 114.1632739 22.2684229, 114.1630813 22.2683391, 114.1630418 22.2683136, 114.1628694 22.2682022, 114.1624139 22.2678328, 114.1622638 22.2677461, 114.1621211 22.267689, 114.1619689 22.2676555, 114.1617933 22.2675984, 114.161639 22.2675344, 114.161507 22.2674565, 114.1612483 22.2672694, 114.1610194 22.2671137, 114.1608443 22.2670193, 114.160294 22.2667227, 114.1601293 22.2666367, 114.1601038 22.2666298, 114.1599933 22.2665999, 114.159891 22.2665835, 114.159782 22.2665788, 114.1595556 22.2665679, 114.159427 22.2665535, 114.1593883 22.2665491, 114.1592388 22.2665077, 114.1590437 22.2664725, 114.158876 22.2664702, 114.1588206 22.2664694, 114.1586457 22.2664959, 114.1585156 22.2665468, 114.1581997 22.2667219, 114.1581476 22.2667355, 114.1580645 22.2667571, 114.157882 22.2667586, 114.1576998 22.2667363, 114.1576395 22.2667289, 114.1574477 22.2666531, 114.1572644 22.2665491, 114.1571477 22.2664629, 114.157076 22.2664099, 114.1569865 22.2662903, 114.1569748 22.2662536, 114.1569484 22.2661707, 114.1569332 22.266062, 114.1569104 22.265951, 114.15686 22.2658615, 114.1568386 22.2658235, 114.1567355 22.265711, 114.1566268 22.2656373, 114.156597 22.2656171, 114.1563976 22.2655311, 114.1561754 22.2654389, 114.1560411 22.2653716, 114.1559558 22.2652958, 114.1559211 22.2652293, 114.1559017 22.2651402, 114.1559093 22.2650472, 114.1559558 22.2649588, 114.1560267 22.2648791, 114.1564746 22.2645009, 114.156535 22.264414, 114.1565551 22.2643333, 114.1565497 22.2642502, 114.1565149 22.2641546, 114.1558886 22.2635005, 114.1557276 22.2633628, 114.155568 22.2632709, 114.1554853 22.2632424, 114.1554527 22.2632312, 114.1552314 22.2632089, 114.1550879 22.263194, 114.1549391 22.2631406, 114.1548251 22.2631034, 114.1547057 22.2630823, 114.1545563 22.2630989, 114.1541629 22.2632546, 114.1540166 22.2633682, 114.1539499 22.2634431, 114.1539297 22.2634939, 114.1539018 22.2635637, 114.153896 22.2636515, 114.15391 22.2637346, 114.1539943 22.2638365, 114.1541238 22.2639319, 114.1545635 22.2640987, 114.154664 22.2641817, 114.1547071 22.2642473, 114.1547603 22.2643607, 114.154762 22.2645468, 114.1547319 22.2648165, 114.1547214 22.2649111, 114.1547147 22.2652372, 114.1547037 22.2653224, 114.1546724 22.2653982, 114.1546277 22.2654561, 114.1544798 22.2655695, 114.1542383 22.2657181, 114.153885 22.2659549, 114.1538563 22.2659711, 114.1538022 22.2660018, 114.1537034 22.26603, 114.1536046 22.266026, 114.1535133 22.2660049, 114.1534128 22.2659619, 114.1531416 22.2658118, 114.1529937 22.2657673, 114.1528307 22.2657563, 114.1526609 22.2657688, 114.1524885 22.2658314, 114.1523846 22.2659049, 114.1522965 22.2660201, 114.1522453 22.2661905, 114.1522403 22.266389, 114.1522263 22.2665184, 114.1521562 22.266642, 114.1520168 22.2668341, 114.1519055 22.2669614, 114.1517995 22.2670197, 114.1516419 22.2670762, 114.1514696 22.2671122)"
8,30747332,primary,2,10.981,50,????? Salisbury Road,1,111783432,1187353031,900,"LINESTRING (114.1723211 22.2947802, 114.1724276 22.2947867)"
9,30747332,primary,2,937.2920000000003,50,??? Nathan Road,1,"[757833657, 757833658, 124697423, 102821031]",1625209832,900,"LINESTRING (114.1723211 22.2947802, 114.1723038 22.2950248, 114.1722804 22.2953856, 114.1722642 22.2956146, 114.1722386 22.2959541, 114.1722104 22.2963366, 114.1721995 22.296485, 114.172128 22.2975566, 114.1721014 22.2979449, 114.1720963 22.2980114, 114.1720864 22.298159, 114.1720744 22.2983334, 114.1720428 22.2988179, 114.1720355 22.2989302, 114.1720001 22.2994072, 114.1719939 22.2995066, 114.171989 22.2995943, 114.1719443 22.300336, 114.1719345 22.3004564, 114.1719296 22.3005102, 114.1718718 22.3013386, 114.1718439 22.301718, 114.1717977 22.3022692, 114.171748 22.3030582, 114.1717454 22.3031057, 114.1717393 22.3031921)"
10,495137366,primary,5,160.153,50,????? Salisbury Road,1,"[709674358, 442616757, 246481118, 709674359]",30747332,900,"LINESTRING (114.1707694 22.2946759, 114.1710848 22.2947094, 114.1713365 22.294724, 114.1715256 22.2947413, 114.1716416 22.2947398, 114.1717306 22.294744, 114.1719499 22.2947606, 114.172036 22.2947647, 114.1720802 22.2947664, 114.1723211 22.2947802)"
11,4642297159,primary_link,2,17.348,50,??? Nathan Road,1,99517944,30747332,900,"LINESTRING (114.1724417 22.2946865, 114.1724243 22.2946862, 114.1723988 22.2946981, 114.1723685 22.2947123, 114.1723387 22.2947419, 114.1723211 22.2947802)"
12,33004487,primary,3,298.867,50,??? Nathan Road,1,"[102506130, 30658263]",1151084822,900,"LINESTRING (114.1710926 22.3102907, 114.1710171 22.3109217, 114.170922 22.3114051, 114.1708629 22.3117051, 114.1708533 22.3117525, 114.170835 22.3118402, 114.1706443 22.3128285, 114.1706208 22.3129416)"
13,33004487,secondary,3,119.336,50,??? Public Square Street,1,"[888280008, 102506142]",1636768897,700,"LINESTRING (114.1710926 22.3102907, 114.1709504 22.3102642, 114.1709179 22.3102581, 114.1706807 22.3102195, 114.1704199 22.3101776, 114.169953 22.3100905)"
14,1183787463,primary_link,1,79.127,50,??? Nathan Road,1,150801669,33004487,900,"LINESTRING (114.1711037 22.3109889, 114.171088 22.3108322, 114.1711449 22.3104096, 114.1710926 22.3102907)"
15,5099453112,primary,3,200.333,50,??? Nathan Road,1,102506132,33004487,900,"LINESTRING (114.1712706 22.3084968, 114.1711906 22.3092031, 114.171183 22.309298, 114.171143 22.3096647, 114.1711113 22.3100749, 114.1711068 22.310133, 114.1711013 22.3102041, 114.1710926 22.3102907)"
